,SND_MNTPRD_A,SND_MNTTVA_A,SND_MNTDRC_A,SND_MNTAVA_A,SND_MNTTAX_A,SND_MNTPAY_A,SND_MNTAIR_A
13,4000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
17,12740574932.0,25503375.0,0.0,0.0,6449830.0,31953205.0,0.0
21,4000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
22,3710825018.0,0.0,0.0,0.0,2670000.0,2670000.0,0.0
29,7000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
32,19000000.0,0.0,0.0,0.0,90000.0,90000.0,0.0
41,6000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
56,43000000.0,0.0,0.0,0.0,60000.0,60000.0,0.0
70,17000000.0,0.0,0.0,0.0,80000.0,80000.0,0.0
71,252038808.0,0.0,0.0,0.0,30000.0,30000.0,0.0
85,194460680.0,0.0,0.0,0.0,1380000.0,1380000.0,0.0
89,115066138.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
120,1800000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
121,6537641995.0,0.0,0.0,0.0,580000.0,580000.0,0.0
142,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
145,542804359.0,0.0,0.0,0.0,500000.0,500000.0,0.0
149,406340341.0,0.0,0.0,0.0,310000.0,310000.0,0.0
151,2105942104.0,133886.0,0.0,0.0,240000.0,373886.0,0.0
175,20469500.0,0.0,0.0,0.0,180000.0,180000.0,0.0
178,979889965.0,0.0,0.0,0.0,360000.0,360000.0,0.0
188,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
189,2314550.0,0.0,0.0,0.0,0.0,0.0,0.0
192,255300000.0,0.0,0.0,0.0,170000.0,170000.0,0.0
194,506893436.0,0.0,0.0,0.0,230000.0,230000.0,0.0
195,103172685.0,0.0,0.0,0.0,20000.0,20000.0,0.0
196,3170268662.0,0.0,0.0,0.0,2110000.0,2110000.0,0.0
202,225754736.0,0.0,0.0,0.0,1250000.0,1250000.0,0.0
203,44842449.0,0.0,0.0,0.0,180000.0,180000.0,0.0
206,31000000.0,0.0,0.0,0.0,60000.0,60000.0,0.0
208,1091768150.0,0.0,0.0,0.0,50000.0,50000.0,0.0
212,256827665.0,599437.0,0.0,0.0,847983.0,1447420.0,0.0
218,953596216.0,0.0,0.0,0.0,430000.0,430000.0,0.0
231,600000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
241,114373548.0,0.0,0.0,0.0,0.0,0.0,0.0
244,1406226594.0,0.0,0.0,0.0,1540000.0,1540000.0,0.0
252,46477760981.0,0.0,0.0,0.0,3920000.0,3920000.0,0.0
254,25740500.0,0.0,0.0,0.0,40000.0,40000.0,0.0
262,17942830.0,30314.0,0.0,0.0,30000.0,60314.0,0.0
268,24816577656.0,0.0,0.0,0.0,360000.0,360000.0,0.0
269,6000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
275,69195604.0,0.0,0.0,0.0,280000.0,280000.0,0.0
284,582388546.0,0.0,0.0,0.0,5700000.0,5700000.0,0.0
297,6000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
304,460412935.0,0.0,0.0,0.0,700000.0,700000.0,0.0
324,19000000.0,0.0,0.0,0.0,70000.0,70000.0,0.0
335,6000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
345,36700000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
