,BCT_CODBUR,CTR_MATFIS,CTR_CATEGO_X,FJU_CODFJU,CTR_CESSAT,ACT_CODACT,CTR_RATISS,EXE_EXERCI
0,49,14185,2,99,1,6101,0,2013
1,221,6032,2,99,0,6271,0,2013
2,181,8907,2,99,0,6102,0,2015
3,252,5783,0,22,0,4403,0,2015
4,234,1477,2,99,0,6312,0,2015
5,136,8370,1,99,0,4410,0,2013
6,35,1098,1,99,0,4809,0,2013
7,408,13084,0,22,0,4755,0,2014
8,122,13945,1,99,0,4204,0,2016
9,216,10480,2,99,0,6308,0,2016
10,101,3215,2,99,0,6102,0,2013
11,406,8480,1,99,0,4219,0,2017
12,74,10563,1,99,0,4204,0,2014
13,211,9141,0,22,0,3912,0,2014
14,75,10641,0,23,0,4204,0,2013
15,61,7393,0,22,0,2802,0,2014
16,404,8500,0,21,0,4802,0,2014
17,500,5833,0,21,0,5651,0,2016
18,41,13381,0,22,0,4825,0,2013
19,16,12257,2,99,0,6306,0,2016
20,412,11287,0,22,0,3506,0,2014
21,409,2705,0,22,0,3999,0,2014
22,61,15137,0,22,0,5403,0,2013
23,201,8767,1,99,0,4204,0,2015
24,19,7295,1,99,0,4302,0,2014
25,65,7544,0,21,0,4602,0,2017
26,213,3106,1,99,0,4205,0,2013
27,156,10559,0,22,0,4213,0,2016
28,141,12095,1,99,0,4221,0,2014
29,15,14384,0,22,0,3502,0,2015
30,114,11243,0,22,0,5703,0,2014
31,35,13797,2,99,0,6302,0,2013
32,402,1456,0,22,0,2802,0,2014
33,154,10609,1,99,0,4403,0,2016
34,403,78,1,99,0,4410,0,2013
35,601,14130,0,22,0,4998,0,2015
36,154,523,2,99,0,6205,0,2014
37,412,10814,0,22,0,6312,2,2014
38,181,6959,2,99,0,6205,0,2013
39,177,6331,1,99,0,4999,0,2014
40,134,10842,0,21,0,6403,0,2016
41,700,3955,0,21,0,3502,0,2013
42,13,644,2,99,0,6312,0,2018
43,406,14101,1,99,0,4409,0,2015
44,304,9787,0,22,0,5404,0,2014
45,601,8378,0,22,0,6401,0,2014
46,154,4827,0,22,0,4405,0,2013
47,409,3285,0,23,0,4414,0,2014
48,12,1657,0,22,0,5406,0,2014
49,122,9394,2,99,0,6208,0,2014
50,152,13306,1,99,0,4221,0,2016
51,407,2430,0,21,0,4405,0,2015
52,143,3781,2,99,0,6409,0,2016
53,409,14735,0,22,0,4219,0,2016
54,221,9235,1,99,0,4101,0,2013
55,141,12440,1,99,0,4552,0,2013
56,198,2116,0,21,0,5505,0,2014
57,74,6635,2,99,0,6306,0,2016
58,181,1725,0,21,0,5207,0,2014
59,69,13193,2,99,1,6312,0,2013
60,44,12637,2,99,0,6279,0,2014
61,137,6194,1,99,0,4204,0,2013
62,246,7629,0,22,0,4101,0,2017
63,122,4195,1,99,0,4204,0,2016
64,700,2010,0,21,0,6209,0,2013
65,42,1015,2,99,0,6273,0,2013
66,76,13077,1,99,0,4221,0,2017
67,16,12257,2,99,0,6306,0,2014
68,172,8596,0,22,0,4804,0,2016
69,151,3480,2,99,0,6273,0,2016
70,48,7484,0,22,0,3999,0,2015
71,601,13033,0,22,0,2501,0,2015
72,700,962,0,22,0,4204,0,2016
73,49,13816,0,22,0,6401,0,2016
74,93,12164,2,99,0,6105,0,2013
75,92,7882,1,99,0,4204,0,2014
76,246,11032,0,23,0,5401,0,2017
77,182,9540,1,99,0,4221,0,2017
78,601,2941,0,23,0,4802,0,2016
79,156,12536,2,99,2,6307,0,2013
80,226,10433,2,99,0,6271,0,2013
81,65,15234,0,23,0,4203,0,2015
82,151,3082,0,22,0,4413,0,2013
83,65,7515,2,99,0,6272,0,2014
84,412,3970,0,22,0,6105,0,2016
85,500,14441,0,21,0,3502,0,2017
86,32,10809,1,99,0,4101,0,2013
87,45,7379,0,22,0,4804,0,2013
88,101,2405,1,99,0,4204,0,2014
89,112,12750,0,22,0,5203,0,2014
90,172,6580,0,23,0,2502,0,2014
91,700,12437,0,22,0,4216,0,2017
92,198,9823,1,99,0,5404,0,2015
93,136,14203,0,21,0,4804,0,2014
94,198,15192,0,23,0,4204,0,2015
95,402,14597,0,22,0,4999,0,2014
96,101,5193,1,99,0,5309,0,2014
97,14,13750,0,22,0,2502,0,2016
98,172,9988,0,22,0,5103,0,2016
99,213,12156,1,99,0,4101,0,2014
100,601,5058,0,22,0,6401,0,2014
101,161,8354,1,99,0,4214,0,2014
102,44,8556,2,99,0,6406,0,2014
103,62,8130,0,22,0,4401,0,2016
104,15,11355,0,22,0,2920,0,2013
105,411,15167,0,22,0,3704,0,2015
106,244,9633,0,21,0,4101,0,2014
107,237,1861,0,22,0,3604,0,2015
