,SND_MNTPRD_E,SND_MNTTAX_E,SND_MNTPAY_E,target,GROUP
17,199363836.0,0.0,0.0,0.0,0
89,2851017820.0,0.0,0.0,0.0,0
95,17698599.0,0.0,0.0,17.94864521178935,1
149,28750000.0,0.0,0.0,16.769156027046357,1
151,438465.0,0.0,0.0,0.0,0
175,46318337.0,0.0,0.0,0.0,0
178,4363064723.0,0.0,0.0,15.725862660961626,1
192,179201916.0,0.0,0.0,0.0,0
201,255215.0,0.0,0.0,18.42700267834717,1
202,1065648.0,0.0,0.0,0.0,0
208,27933477.0,0.0,0.0,19.364098800148174,1
209,5200000.0,0.0,0.0,17.473385527090766,1
212,5981614716.0,0.0,0.0,15.421916478553085,1
268,27533326289.0,0.0,0.0,13.833863114808445,1
280,32109750.0,0.0,0.0,16.857489143790723,1
304,26285424.0,0.0,0.0,16.625617222349895,1
315,65705504.0,0.0,0.0,14.523766031319985,1
323,67010000.0,0.0,0.0,17.210958409375696,1
357,148149259.0,0.0,0.0,18.388619935000843,1
378,81388000.0,0.0,0.0,11.987680289391447,1
429,1793021488.0,17930209.0,17930209.0,0.0,0
442,1480689857.0,0.0,0.0,0.0,0
453,242444648.0,0.0,0.0,15.072834822201273,1
462,41734053744.0,0.0,0.0,0.0,0
489,3938796228.0,0.0,0.0,0.0,0
529,693800000.0,0.0,0.0,0.0,0
534,156100000.0,0.0,0.0,0.0,0
567,47972250.0,0.0,0.0,13.204203238460662,1
568,120993428.0,0.0,0.0,0.0,0
581,171164.0,0.0,0.0,17.842766880165392,1
588,32391946.0,0.0,0.0,0.0,0
604,223168799.0,0.0,0.0,0.0,0
619,3870912924.0,0.0,0.0,19.75815999796675,1
632,66982963.0,0.0,0.0,0.0,0
649,1491222045.0,274271000.0,274271000.0,18.586594475583173,1
659,1101704563.0,22034013.0,22034013.0,19.242353641495747,1
711,21277760.0,0.0,0.0,15.886441486899276,1
727,883548894.0,0.0,0.0,20.23069199310941,1
729,118148405.0,0.0,0.0,0.0,0
738,125661898.0,0.0,0.0,0.0,0
755,3676361532.0,0.0,0.0,0.0,0
762,1928000.0,0.0,0.0,22.111406039202894,1
774,705237914.0,0.0,0.0,0.0,0
782,263004168.0,0.0,0.0,16.136065717787865,1
812,7065000.0,0.0,0.0,0.0,0
813,2543559.0,0.0,0.0,15.248905561577198,1
887,3551368.0,0.0,0.0,21.834831494646643,1
891,623777.0,0.0,0.0,0.0,0
914,3842148816.0,0.0,0.0,0.0,0
924,34883443.0,0.0,0.0,18.97951043442269,1
931,151027632.0,0.0,0.0,18.402169360641736,1
935,546885.0,0.0,0.0,12.447044327083983,1
936,144000300.0,0.0,0.0,0.0,0
937,23827701419.0,0.0,0.0,0.0,0
947,330743500.0,0.0,0.0,0.0,0
950,64043458.0,0.0,0.0,14.301418908905672,1
957,68477000.0,0.0,0.0,0.0,0
963,65663125.0,0.0,0.0,0.0,0
973,69049.0,0.0,0.0,14.391871643257582,1
990,57960390.0,0.0,0.0,18.651831099090078,1
1011,229303915.0,0.0,0.0,9.75138477432617,1
1022,481662825.0,0.0,0.0,0.0,0
1069,10134173.0,0.0,0.0,0.0,0
1127,1297703.0,0.0,0.0,0.0,0
1128,508509230.0,0.0,0.0,17.15356616702575,1
1132,1523592140.0,0.0,0.0,0.0,0
1160,91987056.0,0.0,0.0,17.761584629223638,1
1199,3231346651.0,0.0,0.0,0.0,0
1207,1536744755.0,0.0,0.0,0.0,0
1228,6651105882.0,133022117.0,133022117.0,0.0,0
1233,360219620.0,0.0,0.0,14.721706508552801,1
1286,8063870.0,0.0,0.0,14.768756746927721,1
1368,660766274.0,13215321.0,13215321.0,0.0,0
1387,31689501.0,0.0,0.0,17.97764947596244,1
1403,91373755.0,0.0,0.0,19.047749215227007,1
1449,771447583.0,0.0,0.0,19.37171007854388,1
1464,146132292.0,0.0,0.0,0.0,0
1501,54383750.0,0.0,0.0,0.0,0
1502,115880819.0,0.0,0.0,0.0,0
1545,3631135271.0,16575014.0,16575014.0,16.703544863924712,1
1585,2272034.0,0.0,0.0,0.0,0
1588,2490586061.0,0.0,0.0,0.0,0
1632,1676254.0,0.0,0.0,20.630532218754553,1
1639,2072501251.0,0.0,0.0,15.872210329797015,1
1658,6605850.0,0.0,0.0,16.714060505341028,1
1661,8480056186.0,71505885.0,71505885.0,0.0,0
1675,318481907.0,0.0,0.0,19.354293527075512,1
1680,1845000.0,0.0,0.0,0.0,0
1704,14162887.0,0.0,0.0,17.236188913890633,1
1737,16254094.0,0.0,0.0,0.0,0
1743,7422727785.0,0.0,0.0,0.0,0
1754,4005222744.0,0.0,0.0,0.0,0
1799,828291331.0,0.0,0.0,0.0,0
1850,167280370.0,0.0,0.0,14.739145058240506,1
