,FAC_MNTPRI_C,FAC_MFODEC_C,FAC_MNTDCO_C,FAC_MNTTVA_C
12,169288910.0,0.0,0.0,30472006.0
17,2398725.0,0.0,0.0,431767.0
24,42372881.0,0.0,0.0,7627119.0
49,22995972.0,0.0,0.0,4139280.0
64,606990100.0,0.0,0.0,11239200.0
77,23160936.0,0.0,0.0,4168968.0
88,15459852.0,0.0,0.0,2782776.0
89,1062394191.0,4292488.0,0.0,157989047.0
94,156859396.0,0.0,0.0,28234656.0
106,502837228.0,0.0,0.0,74104524.0
108,619837311.0,5653378.0,0.0,110242349.0
114,486889779.0,0.0,0.0,59190374.0
125,7067384.0,0.0,0.0,1272128.0
138,1561912061.0,992514.0,5129248.0,275552163.0
140,40302336.0,0.0,0.0,7254420.0
142,8452026.0,0.0,0.0,1521365.0
145,21473390.0,0.0,0.0,3865208.0
150,71853540.0,0.0,0.0,0.0
154,23698092.0,0.0,0.0,4265652.0
159,34182840.0,0.0,0.0,6152913.0
166,51610995.0,0.0,0.0,9289982.0
189,122952130.0,0.0,0.0,22131380.0
194,373929076.0,14388.0,0.0,63641144.0
195,255200187.0,0.0,0.0,45936033.0
205,209966106.0,33800.0,0.0,31804774.0
211,94234464.0,0.0,0.0,16962180.0
212,977454.0,0.0,0.0,175942.0
215,17436781.0,0.0,0.0,3138619.0
232,28202031.0,0.0,0.0,5076357.0
241,13736990.0,0.0,0.0,2472658.0
244,58337557.0,0.0,0.0,4490435.0
252,2000110890.0,2023660.0,0.0,356564976.0
254,79866771.0,45936.0,0.0,10610601.0
266,35159758.0,0.0,0.0,6328755.0
267,18290448.0,0.0,0.0,3292281.0
281,7752889.0,31090.0,0.0,1401115.0
302,28289664.0,0.0,0.0,5092140.0
314,20563524.0,0.0,0.0,3701436.0
315,12351141.0,0.0,0.0,2223208.0
317,25384092.0,0.0,0.0,4569132.0
319,4210527.0,0.0,0.0,505263.0
323,42763081.0,195507.0,0.0,7752508.0
324,4568616.0,0.0,0.0,822348.0
328,119632984.0,0.0,0.0,21533929.0
338,2649430.0,0.0,0.0,476898.0
345,994154039.0,0.0,0.0,178947714.0
354,326855959.0,48940.0,0.0,57519622.0
361,22134290.0,22886.0,0.0,3756386.0
373,17553756.0,0.0,0.0,3159672.0
378,21148338.0,0.0,0.0,3806700.0
385,13760287.0,0.0,0.0,2476852.0
400,11519655.0,0.0,0.0,2073474.0
405,47013902.0,0.0,0.0,8462505.0
407,1370371001.0,721400.0,0.0,97605499.0
411,24347304.0,0.0,0.0,4382424.0
426,5455289.0,0.0,0.0,981946.0
429,207492262.0,1524663.0,0.0,37379287.0
431,62919392.0,0.0,0.0,11325492.0
450,2521946.0,0.0,0.0,151451.0
453,35923004.0,0.0,0.0,6466140.0
462,39130866418.0,352228658.0,0.0,7415836088.0
468,8090000.0,0.0,0.0,970920.0
470,44057760.0,0.0,0.0,7930332.0
472,21392760.0,0.0,0.0,4064628.0
478,21981713.0,0.0,0.0,3724892.0
496,85562999.0,0.0,0.0,15401338.0
507,2870316153.0,2163813.0,0.0,432942478.0
523,350366423.0,84069.0,0.0,53453520.0
533,883432.0,0.0,0.0,159018.0
535,42928084.0,0.0,0.0,7727056.0
551,27544800.0,0.0,0.0,4958064.0
560,227134553.0,0.0,0.0,34284218.0
567,281428949.0,270000.0,0.0,44452939.0
570,26634708.0,0.0,0.0,4794252.0
576,22011693.0,0.0,0.0,3962101.0
577,32903928.0,0.0,0.0,5922708.0
578,67894853.0,0.0,0.0,12221074.0
591,40129308.0,0.0,0.0,7223276.0
607,650000.0,6500.0,0.0,118170.0
611,21179472.0,0.0,0.0,3812304.0
619,1219659.0,0.0,0.0,62291.0
622,55762257.0,0.0,0.0,0.0
648,14443226.0,0.0,0.0,2097483.0
659,21171827.0,72763.0,0.0,3510540.0
660,12341923.0,0.0,0.0,1815351.0
661,19915976.0,0.0,0.0,3584729.0
667,95040000.0,0.0,0.0,17107200.0
672,3980850.0,26278.0,0.0,721282.0
702,86260138.0,0.0,0.0,15526746.0
711,6281135.0,24350.0,0.0,1124542.0
721,15182442.0,0.0,0.0,2732838.0
737,1387247500.0,0.0,0.0,249704550.0
744,15918578.0,0.0,0.0,2865342.0
746,38339415.0,38897.0,0.0,6651539.0
749,5215632.0,0.0,0.0,990972.0
762,15803210057.0,788921.0,0.0,2844719833.0
763,918911868.0,0.0,0.0,165404047.0
766,4371614.0,0.0,0.0,786889.0
770,208672301.0,0.0,0.0,37561001.0
774,491.0,0.0,0.0,88.0
830,357227112.0,0.0,0.0,64300884.0
836,287524046.0,0.0,0.0,51754164.0
838,1027859.0,0.0,0.0,123343.0
842,135632877.0,0.0,0.0,8621251.0
848,426119071.0,0.0,0.0,76701429.0
854,30375234.0,0.0,0.0,3645028.0
857,29083513.0,0.0,400.0,5217394.0
859,145144716.0,0.0,0.0,26126064.0
860,1146343.0,0.0,0.0,206338.0
862,7769707531.0,70659760.0,0.0,1395015157.0
867,1867013707.0,44489.0,0.0,335957967.0
874,197764632.0,0.0,0.0,35597628.0
877,1061705.0,0.0,0.0,128678.0
880,22246200.0,0.0,0.0,4004316.0
884,34545480.0,0.0,0.0,4166186.0
888,378013308.0,223640.0,0.0,61088930.0
