,SND_MNTPRD_I,SND_MNTTVA_I,SND_MNTDRC_I,SND_MNTTAX_I,SND_MNTPAY_I,SND_MNTAIR_I
13,133787849.0,38279772.0,359340.0,41579049.0,80218161.0,47438590.0
15,216441035.0,64280441.0,272665.0,73727432.0,138280538.0,1128257259.0
17,12254133242.0,2227576595.0,9240.0,577122433.0,2804708268.0,11080682.0
20,901425760.0,163983153.0,0.0,127060141.0,291043294.0,65918.0
21,425837983.0,95968312.0,0.0,71584522.0,167552834.0,33491202.0
22,40000000.0,7200000.0,0.0,216000.0,7416000.0,0.0
29,716126821.0,130325928.0,0.0,11650927.0,141976855.0,11115.0
32,1077403933.0,251282391.0,94905206.0,71851418.0,418039015.0,538149512.0
41,5133042415.0,1051050275.0,0.0,160688364.0,1211738639.0,24976459.0
46,204423538.0,50689152.0,0.0,27755737.0,78444889.0,207568396.0
56,2469820883.0,316313194.0,0.0,12810135.0,329123329.0,0.0
58,26946155.0,4898810.0,0.0,424509.0,5323319.0,0.0
64,612797485.0,0.0,0.0,3512963.0,3512963.0,3738190.0
70,857052220.0,177379115.0,15040.0,237642262.0,415036417.0,133119278.0
71,541489.0,126767.0,0.0,202786.0,329553.0,0.0
85,14976986225.0,2802887297.0,0.0,703299938.0,3506187235.0,3137265676.0
89,36289174.0,6827261.0,0.0,578595.0,7405856.0,0.0
95,163418574.0,19075302.0,0.0,2322337.0,21397639.0,1840071.0
98,281228926.0,55837479.0,28122886.0,3400942.0,87361307.0,0.0
120,18202345020.0,3305742401.0,0.0,270773780.0,3576516181.0,1358302.0
121,7988716833.0,1511492337.0,519720.0,468051846.0,1980063903.0,23459897.0
142,82744249.0,4964654.0,0.0,148939.0,5113593.0,0.0
145,10936465.0,0.0,0.0,30000.0,30000.0,0.0
147,417042044.0,52551203.0,0.0,5872067.0,58423270.0,4706908.0
149,1056096867.0,199350103.0,0.0,58942558.0,258292661.0,0.0
151,3650511697.0,386287037.0,10.0,63867996.0,450155043.0,162905053.0
155,264275322.0,76958493.0,0.0,82747603.0,159706096.0,1946458711.0
159,53616183.0,9832904.0,0.0,800121.0,10633025.0,0.0
163,1839114.0,433661.0,0.0,600235.0,1033896.0,0.0
168,1250206530.0,30559558.0,0.0,5319303.0,35878861.0,1716561.0
178,9052586528.0,1655865568.0,0.0,272537323.0,1928402891.0,0.0
188,12792844385.0,2807964348.0,3328858.0,700383607.0,3511676813.0,180306717.0
189,152490122.0,16990526.0,0.0,2080357.0,19070883.0,0.0
191,18655917.0,4142641.0,0.0,365971.0,4508612.0,0.0
192,786097657.0,151790272.0,10174751.0,53291930.0,215256953.0,0.0
194,1526356.0,346568.0,0.0,275642.0,622210.0,0.0
195,572144794.0,34671974.0,0.0,6933249.0,41605223.0,0.0
196,60000000.0,10800000.0,0.0,324000.0,11124000.0,0.0
201,383103312.0,4077060.0,0.0,332311.0,4409371.0,0.0
202,7754300003.0,1801510455.0,0.0,332386106.0,2133896561.0,4062855199.0
203,1241264898.0,217283140.0,0.0,21013802.0,238296942.0,214836.0
206,528692665.0,95164674.0,0.0,2854934.0,98019608.0,0.0
208,120699872.0,20386224.0,18480.0,1992261.0,22396965.0,0.0
212,29386599355.0,5309287808.0,0.0,284527091.0,5593814899.0,10015192.0
214,13986109.0,2925851.0,0.0,2963675.0,5889526.0,1904619.0
218,3029213107.0,438900149.0,4465.0,137214398.0,576119012.0,50478426.0
227,32912131.0,6318288.0,0.0,2460077.0,8778365.0,317454.0
229,104356907.0,18933884.0,0.0,1649096.0,20582980.0,0.0
231,131426400.0,26918021.0,15868800.0,3600447.0,46387268.0,0.0
245,329495031.0,19967398.0,0.0,3992820.0,23960218.0,0.0
249,1251603652.0,188193836.0,0.0,20432038.0,208625874.0,88547587.0
252,5592193892.0,3858122.0,625438.0,7228074.0,11711634.0,22539844.0
254,590173927.0,0.0,0.0,355000.0,355000.0,2347373.0
256,751654.0,173179.0,0.0,230460.0,403639.0,0.0
262,199860204.0,42112652.0,0.0,3623629.0,45736281.0,13270251.0
268,34866814429.0,6240220511.0,13390.0,1437481165.0,7677715066.0,2417640.0
269,385671828.0,52819998.0,3000.0,45537957.0,98360955.0,0.0
275,536245282.0,96524126.0,0.0,2986851.0,99510977.0,0.0
280,3826720.0,855619.0,0.0,270523.0,1126142.0,293839.0
281,61171493.0,0.0,0.0,140000.0,140000.0,0.0
284,1710572101.0,252587694.0,285688.0,44530504.0,297403886.0,65670978.0
297,917667858.0,196177046.0,94117213.0,99165863.0,389460122.0,678345.0
304,12117195803.0,2481618591.0,414330.0,743332409.0,3225365330.0,1002633891.0
311,43686664.0,2621199.0,0.0,78635.0,2699834.0,0.0
