,CTR_OBLDIR,CTR_OBLACP,CTR_OBLRES,CTR_OBLFOP,CTR_OBLTFP,CTR_OBLDCO,CTR_OBLTVA,CTR_OBLTCL,target,GROUP
0,4,2,2,2,2,1,2,3,13.575956843434884,1
1,8,2,1,1,1,1,2,3,11.692894256180587,1
2,4,2,2,2,2,1,2,3,0.0,0
3,4,2,2,2,2,1,2,3,16.237871277863313,1
4,8,2,2,1,1,1,2,3,13.399982992717025,1
5,4,2,2,2,2,1,2,3,17.187975247728414,1
6,4,2,2,2,2,1,2,3,16.71348329949838,1
7,4,2,2,2,2,1,2,3,14.144894877400407,1
8,4,2,2,2,2,1,2,3,15.029099875056081,1
9,8,2,2,2,2,1,2,3,14.682281159308367,1
10,4,2,2,2,2,1,2,3,16.054421609383926,1
11,4,2,2,2,2,1,2,3,14.248591481613634,1
12,4,2,2,2,2,1,2,3,18.877550373595444,1
13,4,2,2,2,2,1,2,3,17.717433731364512,1
14,4,2,2,2,2,1,2,3,0.0,0
15,4,2,2,2,2,1,2,3,0.0,0
16,4,2,2,2,2,1,2,3,0.0,0
17,4,2,2,2,2,1,2,3,0.0,0
18,4,2,2,2,2,1,2,3,15.706732332556145,1
19,8,2,2,2,2,1,2,3,14.640738517016628,1
20,4,2,2,2,2,1,2,3,13.198590816186705,1
21,4,2,2,2,2,1,2,3,18.117452412204575,1
22,4,2,2,2,2,1,2,3,20.041544585138077,1
23,4,2,2,2,2,1,2,3,16.455398471120933,1
24,4,2,2,2,2,1,2,3,14.953591926376028,1
25,4,2,2,2,2,1,2,3,0.0,0
26,4,2,2,2,2,1,2,3,16.939526541610512,1
27,4,2,2,2,2,1,2,3,14.769887513548007,1
28,4,2,2,2,2,1,2,3,16.115638735211142,1
29,4,2,2,2,2,1,2,3,20.091467226912318,1
30,4,2,2,2,2,1,2,3,15.958901892827885,1
31,4,2,2,2,2,1,2,3,0.0,0
32,4,2,2,2,2,1,2,3,0.0,0
33,4,2,2,2,2,1,2,3,15.213941966240464,1
34,4,2,2,2,2,1,2,3,14.339869196012847,1
35,4,2,2,2,2,1,2,3,0.0,0
36,8,2,2,2,2,1,2,3,13.855316676657367,1
37,4,2,2,2,2,1,2,3,17.524298295557283,1
38,4,2,2,2,2,1,2,3,15.210765155995652,1
39,4,2,2,2,2,1,2,3,14.107507557713161,1
40,4,2,2,2,2,1,2,3,17.672512001328247,1
41,4,2,2,2,2,1,2,3,17.593311692442594,1
42,4,2,2,2,2,1,2,3,14.465347755692928,1
43,4,2,2,2,2,1,2,3,17.070228626147347,1
44,4,2,2,2,2,1,2,3,17.295903242199813,1
45,4,2,2,2,2,1,2,3,0.0,0
46,4,2,2,2,2,1,2,1,0.0,0
47,4,2,2,2,2,1,2,3,16.8006614961236,1
48,4,2,2,2,2,1,2,3,10.682078214913538,1
49,4,2,2,2,2,1,2,3,11.49199800528723,1
50,4,2,2,2,2,1,2,3,14.421314488288937,1
51,4,2,2,2,2,1,2,1,16.79676909045346,1
52,8,2,2,2,2,1,2,3,11.061625820518264,1
53,4,2,2,2,2,1,2,3,15.046866595813901,1
54,4,2,2,2,2,1,2,3,15.071645833833832,1
55,4,2,2,2,2,1,2,3,13.621981632576153,1
56,4,2,2,2,2,1,2,3,0.0,0
57,8,2,2,2,2,1,2,3,14.67012076074807,1
58,4,2,2,2,2,1,2,3,17.15013346289265,1
59,8,2,2,2,2,1,2,3,12.523365703327956,1
60,4,2,2,2,2,1,2,3,0.0,0
61,4,2,2,2,2,1,2,3,0.0,0
62,4,2,2,2,2,1,2,3,16.891033245830045,1
63,4,2,2,2,2,1,2,3,15.70471444304532,1
64,4,2,2,2,2,1,2,3,0.0,0
65,4,2,2,2,2,1,2,3,12.58090327306224,1
66,4,2,2,2,2,1,2,3,11.602647331927454,1
67,8,2,2,2,2,1,2,3,15.16864490274801,1
68,4,2,2,2,2,1,2,3,0.0,0
69,8,2,2,2,2,1,2,3,14.683577385313738,1
70,4,2,2,2,2,1,2,3,17.448599568023145,1
71,4,2,2,2,2,1,2,3,19.408008567936687,1
72,4,2,2,2,2,1,2,3,15.624077323286473,1
73,4,2,2,2,2,1,2,3,16.60057895906284,1
74,4,2,1,1,1,1,2,3,0.0,0
75,4,2,2,2,2,1,2,3,17.015779340539627,1
76,4,2,2,2,2,1,2,3,16.60149712688601,1
77,4,2,2,2,2,1,2,3,14.840864462194741,1
78,4,2,2,2,2,1,2,3,16.897148655943138,1
79,4,2,2,2,2,1,2,3,14.86723247671052,1
80,4,2,2,2,2,1,2,3,14.032557965494961,1
81,4,2,2,2,2,1,2,3,0.0,0
82,4,2,2,2,2,1,2,3,15.686575232208394,1
83,4,2,2,2,2,1,2,3,0.0,0
84,4,2,2,2,2,1,2,3,0.0,0
85,4,2,2,2,2,1,2,3,17.431834104080316,1
86,4,2,2,2,2,1,2,3,0.0,0
87,4,2,2,2,2,1,2,3,17.523560429768082,1
88,4,2,2,2,2,1,2,3,13.412152727985127,1
89,4,2,2,2,2,1,2,3,0.0,0
90,4,2,2,2,2,1,2,3,17.163338386040554,1
91,4,2,2,2,2,1,2,3,0.0,0
92,4,2,2,2,2,1,2,3,15.096115460441638,1
93,4,2,2,2,2,1,2,3,0.0,0
94,4,2,2,2,2,1,2,3,17.836376004107372,1
95,4,2,2,2,2,1,2,3,17.94864521178935,1
96,4,2,2,2,2,1,2,3,0.0,0
97,4,2,2,2,2,1,2,3,16.616266276954892,1
98,4,2,2,2,2,1,2,3,16.2599912285576,1
99,4,2,1,1,1,1,2,3,12.767789082699109,1
100,4,2,2,2,2,1,2,3,14.525585157937467,1
101,4,2,2,2,2,1,2,3,15.264428717684927,1
102,4,2,2,2,2,1,2,3,13.58953299462893,1
103,4,2,2,2,2,1,2,3,14.459565703796455,1
104,4,2,2,2,2,1,2,3,15.734136424666813,1
105,4,2,2,2,2,1,2,3,0.0,0
106,4,2,2,2,2,1,2,3,18.456253918687388,1
107,4,2,2,2,2,1,2,3,0.0,0
108,4,2,2,2,2,1,2,3,0.0,0
109,4,2,2,2,2,1,2,3,14.002726782968285,1
110,4,2,2,2,2,1,2,3,0.0,0
111,8,2,2,2,2,1,2,3,16.272399261948156,1
112,4,2,2,2,2,1,2,3,15.946015986469758,1
113,4,2,2,2,2,1,2,3,17.276897517805494,1
114,4,2,2,2,2,1,2,3,0.0,0
115,4,2,2,2,2,1,2,3,14.5751479476292,1
116,4,2,2,2,2,1,2,3,0.0,0
117,4,2,2,2,2,1,2,3,17.2530510227814,1
118,4,2,2,2,2,1,2,3,17.075653615819373,1
119,4,2,2,2,2,1,2,3,0.0,0
120,4,2,2,2,2,1,2,3,12.16184903874801,1
121,4,2,2,2,2,1,2,3,0.0,0
122,4,2,2,2,2,1,2,3,16.650631023484205,1
123,4,2,1,1,1,1,2,3,15.583405521626668,1
124,4,2,2,2,2,1,2,3,0.0,0
125,4,2,2,2,2,1,2,3,0.0,0
126,4,2,2,2,2,1,2,3,0.0,0
127,4,2,2,2,2,1,2,3,15.586527378214175,1
128,4,2,2,2,2,1,2,3,0.0,0
129,8,2,1,1,1,1,2,3,14.633812204969995,1
130,4,2,2,2,2,1,2,3,16.964066574210857,1
131,4,2,2,2,2,1,2,3,14.64159776882851,1
132,8,2,2,1,1,1,2,3,13.67871670644628,1
133,4,2,1,1,1,1,2,3,0.0,0
134,4,2,2,2,2,1,2,3,0.0,0
135,4,2,2,2,2,1,2,3,13.652407928735187,1
136,4,2,2,2,2,1,2,3,17.589721892001872,1
137,4,2,2,2,2,1,2,3,13.894550917300673,1
138,4,2,2,2,2,1,2,3,0.0,0
139,4,2,2,2,2,1,2,3,14.702727102152279,1
140,4,2,2,2,2,1,2,3,18.21131316667481,1
141,4,2,2,2,2,1,2,3,18.447530258025726,1
142,4,2,2,2,2,1,2,3,18.754447151689593,1
143,4,2,2,2,2,1,2,3,15.333856123019714,1
144,4,2,1,1,1,1,2,3,15.590003142182491,1
145,6,1,2,1,2,1,3,3,18.97489608425704,1
146,4,2,2,2,2,1,2,3,14.516841658707099,1
147,4,2,2,2,2,1,2,3,0.0,0
148,4,2,2,2,2,1,2,3,13.936183635645413,1
149,4,2,2,2,2,1,2,3,16.769156027046357,1
150,4,2,2,2,2,1,2,3,16.142505003922277,1
151,4,2,2,2,2,1,2,3,0.0,0
152,5,1,2,2,2,1,2,3,16.191473706787924,1
153,4,2,2,2,2,1,2,3,18.830418551067854,1
154,4,2,2,2,2,1,2,3,16.674192053114453,1
155,4,2,2,2,2,1,2,3,16.085319328044204,1
156,4,2,1,1,1,1,2,3,0.0,0
157,4,2,2,2,2,1,2,3,15.836713823550971,1
158,4,2,2,2,1,1,2,3,14.161327567302134,1
159,4,2,2,2,2,1,2,3,0.0,0
160,4,2,2,2,2,1,2,3,15.411146256559839,1
161,4,2,2,2,2,1,2,3,0.0,0
162,4,2,2,2,2,1,2,3,16.993442255854355,1
163,4,2,2,2,2,1,2,3,0.0,0
164,4,2,2,2,2,1,2,3,15.89391931650716,1
165,4,2,2,2,2,1,2,3,0.0,0
166,4,2,2,2,2,1,2,3,19.17457661392616,1
167,4,2,2,2,2,1,2,3,16.64922730470386,1
168,4,2,2,2,2,1,2,3,0.0,0
169,8,2,2,2,2,1,2,3,10.404838432339577,1
170,4,2,2,2,2,1,2,3,17.057801067024947,1
171,4,2,2,2,2,1,2,3,0.0,0
172,4,2,1,1,1,1,2,3,13.525426937436324,1
173,6,1,2,1,2,1,3,3,19.503012789040547,1
174,4,2,1,1,1,1,2,3,15.36235110400028,1
175,4,2,2,2,2,1,2,3,0.0,0
176,4,2,2,2,2,1,2,3,18.0098174618852,1
177,4,2,1,1,1,1,2,3,13.720070669748175,1
178,4,2,2,2,2,1,2,3,15.725862660961626,1
179,4,2,2,2,2,1,2,3,0.0,0
180,4,2,2,2,2,1,2,3,12.985897397372822,1
181,4,2,2,2,2,2,2,3,0.0,0
182,4,2,2,2,2,1,2,3,15.35304744575885,1
183,4,2,2,2,2,1,2,3,15.788128569858387,1
184,6,1,2,1,1,1,3,3,13.206395654612862,1
185,4,2,2,2,2,1,2,3,18.665846363662567,1
186,4,2,2,1,1,1,2,3,12.914256210916234,1
187,4,2,2,2,2,1,2,3,15.125558932235773,1
188,4,2,2,2,2,1,2,3,0.0,0
189,4,2,2,2,2,1,2,3,18.346571793336626,1
190,4,2,2,2,2,1,2,3,0.0,0
191,4,2,2,2,2,1,2,3,16.442378468982167,1
192,4,2,2,2,2,2,2,3,0.0,0
193,4,2,2,2,2,1,2,3,16.921737683882338,1
194,6,1,2,1,2,1,3,3,19.877618444454104,1
195,4,2,2,2,2,1,2,3,15.570460976974163,1
196,4,2,2,2,2,1,2,3,19.18139226012759,1
197,4,2,2,2,2,1,2,3,14.751960324202301,1
198,8,2,2,2,2,1,2,3,12.172231436861402,1
199,4,2,2,2,2,1,2,3,14.916080262975767,1
200,4,2,2,2,2,1,2,3,15.464396849941387,1
201,4,2,2,2,2,1,2,3,18.42700267834717,1
202,4,2,2,2,2,1,2,3,0.0,0
203,4,2,2,2,2,1,2,3,0.0,0
204,4,2,2,2,2,1,2,3,18.075903159211702,1
205,6,1,2,1,2,1,3,3,18.710687277749432,1
206,4,2,2,2,2,1,2,3,0.0,0
207,4,2,2,2,2,1,2,3,14.118730293314755,1
208,4,2,2,2,2,1,2,3,19.364098800148174,1
209,4,2,2,2,2,1,2,3,17.473385527090766,1
210,4,2,2,2,2,1,2,3,16.64707607450993,1
211,4,2,2,2,2,1,2,3,15.842316589097853,1
212,4,2,2,2,2,1,2,3,15.421916478553085,1
213,4,2,2,2,2,1,2,3,0.0,0
214,4,2,2,2,2,1,2,3,16.76369252340955,1
215,4,2,2,2,2,1,2,3,15.63179547133929,1
216,4,2,2,2,2,1,2,3,17.95862376031464,1
217,4,2,2,2,2,1,2,3,18.661558848315718,1
218,4,2,2,2,2,1,2,3,0.0,0
219,4,2,2,2,2,1,2,3,17.38297661337107,1
220,4,2,2,2,2,1,2,3,15.748769734141947,1
221,4,2,1,1,1,1,2,3,17.08455749781217,1
222,4,2,2,2,2,1,2,3,16.29046451022964,1
223,4,2,2,2,2,1,2,3,17.230309714647664,1
224,4,2,2,2,2,1,2,1,0.0,0
225,4,2,2,2,2,1,2,3,11.184824094682774,1
226,4,2,2,2,2,1,2,3,16.29844618322569,1
227,4,2,2,2,2,1,2,3,0.0,0
228,4,2,2,2,2,1,2,3,18.036409721084194,1
229,4,2,2,2,2,1,2,3,19.551446068866955,1
230,4,2,2,2,2,1,2,3,15.329875522452348,1
231,4,2,2,2,2,2,2,3,17.7439126507833,1
232,4,2,2,2,2,1,2,3,15.4197976275544,1
233,4,2,2,2,2,1,2,3,0.0,0
234,4,2,2,2,2,1,2,3,16.15922233505599,1
235,4,2,2,2,2,1,2,3,16.549075342689182,1
236,8,2,2,2,2,1,2,3,12.910809900936902,1
237,4,2,2,2,2,1,2,3,16.204052955942526,1
238,4,2,2,2,2,1,2,3,17.244086762260153,1
239,4,2,2,2,2,1,2,3,15.800238454377673,1
240,4,2,2,2,2,1,2,3,12.212834731009295,1
241,6,1,2,1,2,1,3,3,0.0,0
242,4,2,2,2,2,1,2,3,19.98875009169061,1
243,8,2,2,2,2,1,2,3,16.652672859320838,1
244,6,1,2,1,2,1,3,3,15.174433722288034,1
245,4,2,2,2,2,1,2,3,0.0,0
246,4,2,2,2,2,1,2,3,14.38173077428494,1
247,4,2,2,2,2,1,2,3,16.59395479069216,1
248,8,2,2,2,2,1,2,3,14.504682347116404,1
249,4,2,2,2,2,1,2,3,0.0,0
250,8,2,2,2,2,1,2,3,12.571729134368784,1
251,4,2,2,2,2,1,2,3,0.0,0
252,6,1,2,1,2,1,3,3,19.135533744489774,1
253,4,2,2,2,2,1,2,3,13.127203644389414,1
254,4,2,2,2,2,1,2,3,0.0,0
255,8,2,2,2,2,1,2,3,16.968739023160616,1
256,4,2,2,2,2,1,2,3,17.02220772309759,1
257,4,2,2,2,2,1,2,3,16.348740278723678,1
258,4,2,2,2,2,1,2,3,16.80642745618578,1
259,4,2,2,2,2,1,2,3,0.0,0
260,4,2,2,2,2,1,2,3,16.29461943309099,1
261,4,2,2,2,2,1,2,3,15.871371115840454,1
262,4,2,2,2,2,1,2,3,0.0,0
263,4,2,2,2,2,1,2,3,15.394384721366913,1
264,4,2,2,2,2,1,2,3,14.025894652523112,1
265,4,2,2,2,2,1,2,3,0.0,0
266,4,2,2,2,2,1,2,3,0.0,0
267,4,2,2,2,2,1,2,3,17.3921086581282,1
268,4,2,2,2,2,1,2,3,13.833863114808445,1
269,4,2,2,2,2,1,2,3,15.311688166753292,1
270,4,2,2,2,2,1,2,3,13.651882778625565,1
271,8,2,2,2,2,1,2,3,13.692797012295525,1
272,4,2,2,2,2,1,2,3,17.24620936158098,1
273,4,2,2,2,2,1,2,3,15.146522890790095,1
274,4,2,2,2,2,1,2,3,14.904459304651356,1
275,4,2,2,2,2,1,2,3,15.335846181702886,1
276,4,2,2,2,2,1,2,3,12.100717685412473,1
277,4,2,2,2,2,1,2,1,9.41759841406017,1
278,4,2,2,2,2,1,2,3,17.057369046488226,1
279,4,2,2,2,2,1,2,3,16.416637764114135,1
280,4,2,2,2,2,1,2,3,16.857489143790723,1
281,6,2,2,1,1,1,3,3,18.116900386648158,1
282,4,2,2,2,2,1,2,3,16.237214416352632,1
283,4,2,2,2,2,1,2,3,0.0,0
284,4,2,2,2,2,1,2,3,16.033443670221214,1
285,4,2,2,2,2,1,2,3,19.647775967784874,1
286,4,2,2,2,2,1,2,3,13.450989196964214,1
287,4,2,2,2,2,1,2,3,14.659537216657649,1
288,4,2,2,2,2,1,2,3,0.0,0
289,4,2,2,2,2,1,2,3,17.153943914250686,1
290,4,2,2,2,2,1,2,3,15.170410222619665,1
291,4,2,2,2,2,1,2,3,15.256950558652338,1
292,4,2,2,2,2,1,2,3,16.106679938958454,1
293,4,2,2,1,1,1,2,3,0.0,0
294,4,2,2,2,2,1,2,3,0.0,0
295,4,2,2,2,2,1,2,3,18.522310928568782,1
296,4,2,2,2,2,1,2,3,15.382357620709154,1
297,4,2,2,2,2,1,2,3,0.0,0
298,4,2,2,1,1,1,2,3,14.807768133220007,1
299,4,2,2,2,2,1,2,3,0.0,0
300,8,2,2,2,2,1,2,3,17.095299339546994,1
301,4,2,2,2,2,1,2,3,14.326645933752156,1
