,CTR_OFODEC,CTR_OFODEP,CTR_OFODET,CTR_OBLAUT,CTR_OBLASS,CTR_ODTIMB,CTR_OBLTHO,CTR_OBLDLI,CTR_OBLTVI,target,GROUP
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.575956843434884,1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.692894256180587,1
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.237871277863313,1
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.399982992717025,1
5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,17.187975247728414,1
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.71348329949838,1
7,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,14.144894877400407,1
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.029099875056081,1
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.682281159308367,1
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.054421609383926,1
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.248591481613634,1
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.877550373595444,1
13,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.717433731364512,1
14,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
15,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
16,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
17,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
18,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.706732332556145,1
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.640738517016628,1
20,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,13.198590816186705,1
21,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,18.117452412204575,1
22,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.041544585138077,1
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.455398471120933,1
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.953591926376028,1
25,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.939526541610512,1
27,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,14.769887513548007,1
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.115638735211142,1
29,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.091467226912318,1
30,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.958901892827885,1
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
32,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.213941966240464,1
34,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,14.339869196012847,1
35,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.855316676657367,1
37,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.524298295557283,1
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.210765155995652,1
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.107507557713161,1
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.672512001328247,1
41,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.593311692442594,1
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.465347755692928,1
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,17.070228626147347,1
44,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.295903242199813,1
45,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
46,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0
47,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.8006614961236,1
48,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,10.682078214913538,1
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.49199800528723,1
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.421314488288937,1
51,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,16.79676909045346,1
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.061625820518264,1
53,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.046866595813901,1
54,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.071645833833832,1
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.621981632576153,1
56,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.67012076074807,1
58,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.15013346289265,1
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.523365703327956,1
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
62,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.891033245830045,1
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.70471444304532,1
64,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.58090327306224,1
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.602647331927454,1
67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.16864490274801,1
68,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.683577385313738,1
70,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.448599568023145,1
71,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,19.408008567936687,1
72,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.624077323286473,1
73,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.60057895906284,1
74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.015779340539627,1
76,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.60149712688601,1
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.840864462194741,1
78,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.897148655943138,1
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.86723247671052,1
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.032557965494961,1
81,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
82,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.686575232208394,1
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
84,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
85,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.431834104080316,1
86,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
87,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.523560429768082,1
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.412152727985127,1
89,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.163338386040554,1
91,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
92,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.096115460441638,1
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
94,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.836376004107372,1
95,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.94864521178935,1
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
97,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.616266276954892,1
98,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.2599912285576,1
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.767789082699109,1
100,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,14.525585157937467,1
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.264428717684927,1
102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.58953299462893,1
103,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,14.459565703796455,1
104,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.734136424666813,1
105,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
106,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,18.456253918687388,1
107,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
108,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.002726782968285,1
110,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.272399261948156,1
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.946015986469758,1
113,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.276897517805494,1
114,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5751479476292,1
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.2530510227814,1
118,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,17.075653615819373,1
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
120,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,12.16184903874801,1
121,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
122,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.650631023484205,1
123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.583405521626668,1
124,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
125,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
126,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0
