,ADB_MNTORD,target,GROUP
2,34442746.0,0.0,0
8,1540632565.0,15.029099875056081,1
12,327997308.0,18.877550373595444,1
14,40357854.0,0.0,0
28,655617338.0,16.115638735211142,1
39,12498259.0,14.107507557713161,1
45,94857777.0,0.0,0
48,11328000.0,10.682078214913538,1
61,222353251.0,0.0,0
63,56472057.0,15.70471444304532,1
66,200000.0,11.602647331927454,1
70,14957142.0,17.448599568023145,1
73,1960000.0,16.60057895906284,1
76,359568926.0,16.60149712688601,1
88,229107962.0,13.412152727985127,1
90,19733001.0,17.163338386040554,1
101,63089703.0,15.264428717684927,1
110,6078357.0,0.0,0
116,421940.0,0.0,0
117,110671478.0,17.2530510227814,1
120,392378.0,12.16184903874801,1
122,101376982.0,16.650631023484205,1
126,699988006.0,0.0,0
127,20591107.0,15.586527378214175,1
131,2990000.0,14.64159776882851,1
140,217393404.0,18.21131316667481,1
146,25249639.0,14.516841658707099,1
150,251303545.0,16.142505003922277,1
151,3031155936.0,0.0,0
158,18527874.0,14.161327567302134,1
159,6520499516.0,0.0,0
164,305900672.0,15.89391931650716,1
166,1585000.0,19.17457661392616,1
179,210344923.0,0.0,0
184,67642608.0,13.206395654612862,1
185,282501808.0,18.665846363662567,1
188,2266237.0,0.0,0
189,9117768890.0,18.346571793336626,1
206,4236394953.0,0.0,0
213,21561989.0,0.0,0
215,152520597.0,15.63179547133929,1
218,2753163658.0,0.0,0
221,105179004.0,17.08455749781217,1
224,1680000.0,0.0,0
225,132072154.0,11.184824094682774,1
235,33591650.0,16.549075342689182,1
242,2750000.0,19.98875009169061,1
245,1530957594.0,0.0,0
247,1700000.0,16.59395479069216,1
249,66191436.0,0.0,0
261,69152114.0,15.871371115840454,1
262,226717812.0,0.0,0
266,160844568.0,0.0,0
268,81345894.0,13.833863114808445,1
274,58973054.0,14.904459304651356,1
280,6997058.0,16.857489143790723,1
282,341283017.0,16.237214416352632,1
284,777966925.0,16.033443670221214,1
289,72313789.0,17.153943914250686,1
297,20846460.0,0.0,0
302,504717143.0,0.0,0
304,197967308.0,16.625617222349895,1
309,9500000.0,13.077677678381589,1
312,3000000.0,14.368815617934876,1
323,1550000.0,17.210958409375696,1
328,75068086.0,18.946467499749986,1
336,3530000.0,0.0,0
347,1208470304.0,16.47504535714645,1
355,105182588.0,0.0,0
357,899678.0,18.388619935000843,1
367,1267250327.0,19.079802427224656,1
372,7104874.0,13.895979328706204,1
376,13467181.0,0.0,0
382,10915000.0,17.205601254786956,1
388,31476353.0,17.312705852585054,1
391,38000006.0,15.632134657507127,1
392,1139126221.0,0.0,0
394,902039804.0,17.742793299129648,1
396,995945.0,17.81962139336323,1
400,93379893.0,15.918271208434234,1
411,231298734.0,18.259378720782472,1
416,143800652.0,0.0,0
421,1050200.0,15.464527388619327,1
422,4758400.0,0.0,0
430,2065518106.0,0.0,0
431,646820409.0,16.101179374141992,1
433,10795361.0,16.868955358475848,1
438,5642874.0,13.312312437361614,1
439,3691158.0,15.811964570654052,1
442,226971302.0,0.0,0
444,115745079.0,14.885998025747949,1
447,20260404.0,17.62316655404372,1
454,467700681.0,13.794428893048105,1
461,239925148.0,16.67146275647871,1
464,8536691.0,0.0,0
466,50018240.0,12.923914877701904,1
467,569000.0,15.660891517560394,1
469,12397987.0,15.601283812172866,1
480,220618660.0,17.331757672842393,1
482,8119400.0,13.999692050671229,1
486,86965173.0,15.353941285830023,1
494,3300000.0,16.949813107619384,1
495,29519547.0,0.0,0
497,12676179.0,14.09716676127941,1
498,16461000.0,14.73619203638735,1
499,1968654.0,15.52628753083349,1
500,3170123435.0,18.2763600412014,1
502,59461900.0,14.884886259140757,1
511,60765700.0,16.69142988072751,1
522,589000.0,17.02953941524046,1
525,7399587273.0,0.0,0
526,696122047.0,0.0,0
528,559685920.0,0.0,0
530,183270132.0,17.06682069730857,1
531,313294643.0,15.678878031791509,1
533,14187542.0,20.577929719634216,1
543,23247594.0,15.074608844457474,1
550,3461411.0,0.0,0
561,524502268.0,16.669787671458774,1
566,1000000.0,0.0,0
568,308206190.0,0.0,0
576,34915600.0,0.0,0
577,337564208.0,0.0,0
578,104475666.0,14.947366759889093,1
580,129375530.0,0.0,0
581,9254000.0,17.842766880165392,1
590,110892032.0,0.0,0
592,28251272.0,12.676270006008805,1
596,511667784.0,17.488349599767652,1
599,27000559.0,14.184629750060568,1
604,1681127364.0,0.0,0
612,321782593.0,17.709073846388442,1
617,662045010.0,18.43053124804083,1
619,11548542.0,19.75815999796675,1
622,4819628728.0,15.520832667241573,1
625,740837834.0,0.0,0
638,8209998.0,14.36587742043282,1
652,10118500.0,0.0,0
654,41196827.0,14.402603093125188,1
663,8194503228.0,0.0,0
670,73011262.0,18.59044671658262,1
674,5663982.0,12.716903269283664,1
677,47637164.0,12.96348487233684,1
682,382498819.0,15.916497447716004,1
683,79476895.0,13.768450396476872,1
684,32896995.0,15.428578872506726,1
700,7204234.0,13.454361333630619,1
702,1827326487.0,0.0,0
705,1094527845.0,17.646587833116673,1
717,97210000.0,16.694081571269482,1
721,134081847.0,15.63179173086966,1
723,92834468.0,13.36844502743946,1
724,2071834823.0,0.0,0
725,2683500.0,16.35020917154016,1
729,181602000.0,0.0,0
730,7849805.0,15.840907392009287,1
733,1014524.0,0.0,0
742,38465410.0,16.667087027756647,1
743,840000.0,14.848936649131085,1
745,74454893.0,0.0,0
747,383799.0,0.0,0
752,41801680.0,15.318798087321836,1
754,1406776493.0,0.0,0
763,4279031550.0,0.0,0
764,79620828.0,15.732726656486768,1
771,39810000.0,14.040773461863385,1
774,44978683390.0,0.0,0
778,1603200.0,9.279399907907678,1
780,1530999.0,17.369872790827145,1
783,66331560.0,15.93359223564124,1
790,1163360.0,15.930043988420735,1
793,22000.0,17.833160001689688,1
798,3975500.0,16.951470621891133,1
806,165283989.0,19.644872832878413,1
807,63492913.0,0.0,0
812,8829042.0,0.0,0
814,8620146.0,14.078290120798846,1
815,279450480.0,0.0,0
818,91875679.0,16.884678824373033,1
822,20941080.0,14.647588465970731,1
828,45494700.0,15.693585175760074,1
830,10267823111.0,18.016569928375944,1
831,62738762.0,15.758736966149346,1
832,40484393.0,13.524480219654635,1
835,75341817.0,15.020316315288525,1
836,5085219914.0,17.603757834867086,1
839,195482397.0,18.776394806392297,1
840,3491000.0,17.36949180006722,1
842,4984500.0,0.0,0
851,387000.0,15.929176457545587,1
855,4894000.0,16.639908335314175,1
859,1634494005.0,17.182943344089068,1
868,11271528.0,15.02385369844383,1
869,66006540.0,0.0,0
874,1657177.0,21.640501058649587,1
876,20930000.0,16.641063577687962,1
877,6040791.0,0.0,0
880,526121094.0,0.0,0
881,13416840.0,15.866421186443574,1
891,34830690541.0,0.0,0
897,51065915.0,16.922182415193358,1
900,2688000.0,0.0,0
904,36335287.0,16.811033609632894,1
906,3694699167.0,14.128674687410738,1
907,28257339.0,13.337226339071314,1
909,749519275.0,0.0,0
911,197548064.0,0.0,0
918,532960.0,14.884671378630314,1
920,46075114.0,13.94522304283425,1
921,20723000.0,16.9547139732568,1
925,17544087.0,18.34173982575249,1
930,27453948.0,16.648832484360508,1
932,889190853.0,0.0,0
935,1316891559.0,12.447044327083983,1
939,39293942.0,14.582071291053007,1
941,2013761868.0,19.562079892328214,1
945,119954445.0,18.14646466335388,1
946,2484739513.0,19.32684784839837,1
951,230936483.0,17.13259921857934,1
953,2215039813.0,16.879887395686602,1
955,454964962.0,15.989731229375394,1
957,40302039.0,0.0,0
960,55335431.0,0.0,0
961,28227960.0,14.582363486939675,1
962,444040958.0,0.0,0
969,127589517.0,17.026049890640873,1
970,1178943595.0,13.523799044876196,1
975,12600000.0,16.60077226266143,1
979,198094256.0,17.223940686802376,1
981,824300.0,17.599267507379004,1
984,45924591.0,13.202668819790844,1
986,5450000.0,15.924863145665775,1
987,888079433.0,17.786593649018958,1
990,726200000.0,18.651831099090078,1
993,998557804.0,0.0,0
995,556655679.0,17.43996271142208,1
996,244628515.0,12.762451772553867,1
1001,15919758.0,14.06692742544255,1
1005,4779014607.0,0.0,0
1007,233495756.0,0.0,0
1008,21346500.0,14.610036738457325,1
1009,363716802.0,0.0,0
1014,36022089.0,14.544438889312895,1
1033,4982510.0,0.0,0
1046,121418111.0,0.0,0
